267;MOBACKEN;Extrem frukostbulle;07313350011811
268;FINDUS;Veggie korv;07330382072269
269;RAPSONA;FRENCH HOT DOG DRESSING;07313843013490
270;Scan;Högrevsburgare;17300292983716
271;Kalmar Kebab;Färdiggrillad nötkebab;07350049100074
272;BD FISK;Böckling;02380607300009
273;DÉLIFRANCE;Ciabatta;03291810023595
274;Brakes;Potatismos komplett;07330671014864
275;Tradition Emotion;Reblochon opastöriserad kittost;93337850002602
276;BjörnMat Nature's Foods;Fryst Garneringskantarell;07330120101176
277;FELIX;KebabPytt;07310241087658
278;DAIM;Mini;07622300163105
279;Johan i Hallen;Lomo torkad skivad;97325910595115
280;Andersson & Tillman;Rimmad sida i bit;02372703900009
281;Johan i Hallen;Julskinka KRAV rimmad;97325910270715
282;PARTY-IS;Krossad is;07350027540120
283;ZOÉGAS;Mollbergs Blandning;07310731201953
284;Teampac;Avfallspåse 30L, vit;17312890435986
285;FELDTS;Laxfilé med skinn, PBO, vac. pack;02364301900000
286;FELDTS;Torsktunga;02328027600002
287;Johan i Hallen;Mid/short rib Sousvide;97325910900117
288;SANTA MARIA;Dill;07311311011320
289;LINDAHLS;Kokt ägg i vakuum;07392672709965
290;Hina;Ajvar Stark;05319990821065
291;MERHAV;Alaska Pollock sprödbakad MSC;07312740135892
292;Castello®;Ekologisk färskost med vitlök;05740200023564
293;KRÖGARKLASS;Lammfärsmedaljong 60g;07310100758040
294;Hafi;Lingon & Röda vinbärssylt;07314485880037
295;Arla & More®;Skyr Vanilla;04016241040725
296;Lithells;LANTBIFF STEKT 50G;07310620071117
297;SIA Glass;Vegan Ice Dream NötChoklad;07312690207557
298;SIA Glass;Ice Dream SaltKaramell;07312690113162
299;TAKE´N BAKE;PIZZA GASTRO STENUGNSBAKAD;07393756500652
300;GØL;Spicy Salami Sticks;05707196190953
301;RISENTA;Råris EKO;07312631006256
302;Magnihill;Sommarbär KRAV;07314060059995
303;GRAYS BAKERY;Choklad Kolapaj Popcorn;07393697076018
304;Löfbergs;Ice Espresso + Milk Organic/FT;07310050005201
305;Migi;Kaffebägare i papper;07301002401202
306;ALPENHAIN;Camembert;04003751017378
307;FELDTS;Koljafilé MSC portionsbit fr block;07392497071315
308;Dafgårds;Krögarkassler i bit benfri SE KV;02302260500008
309;Fisk Idag AB;Abborre färsk 300+;07350049783802
310;Niso;Kycklingkebab 15kg;07350082250088
311;Snapple;Raspberry Iced Tea;05000382101116
312;Texas Öppen;Texas Kickin' Steak sauce;07330836324180
313;FlevoGold;Kycklinglårfilé;07350074852757
314;FELDTS;Rödspättafilé;02381118500001
315;FELDTS;Bergtunga, hel;02382959400000
316;Östgötamjölk;Vispgrädde;07350046140127
317;Martin & Servera;Veganfärs formbar;02376848000006
318;RAPSONA;Raps & Olivolja;07313844152822
319;Scan;Nötbog tärnad 2x2cm SE;07300201710009
320;Martin & Servera;Svartrot i bitar;07321573284509
321;Chef´s Cut;Rödbeta Julienne;07340007911934
322;SKÅNEMEJERIER;Gratängost/riven ost;07313180026023
323;La Mediterranea;Pasta Fusilli;08000158060002
324;IL FORNAIO;Ekologiska Marotskornbullar;05703043112451
325;SANTA MARIA;PEPPARMIX;07311310040482
326;ABBA;Fiskb i Buljong;07311170041629
327;Polarica;Älgentrecôte;02358435000002
328;SIGNAL & ANDERSSON;Bacon Skivat;02364424400005
329;FANTASTY;Höns/Kycklingbuljong pulver;07392022100206
330;Pour Te;EKOLOGISKT ISTE MYNTA & BERGAMOTT;07350045060297
331;Atria;Innanlår av nöt, eko;02341883000007
332;Planti;Soygurt Vanilla;07311440601126
333;SALTÅ KVARN;Fruktkick KRAV;07317731541706
334;Dos Pollos;Kycklinglårfilé strimlad;04770513119976
335;GRAYS BAKERY;Cheesecake Vanilj med flädermaräng;07393697067412
336;Scan;NÖTBOG SE;02320441000000
337;Dafgårds;Dillköttsgryta 6x3-p FV;17310960038570
338;Dafgårds;Köttsoppa 6x3-p FV;17310960038549
339;TULIP FOODSERVICE;Nötfärsbiffar, 60 g;05741300051044
340;TENDERMEAT;Styckfryst majskycklingspett;09120023709979
341;Life BY FOLLIS;Rooibos Chai, Eko, Fairtrade;07350054815437
342;DÉLIFRANCE;Baguette Héritage Poolish 25cm;03291810079387
343;Änge Chark;JALAPENOGRILLARE;07350037101700
344;Lohmanders;Pepparsås;07313160004867
345;McCAIN;Tomato Mozzarella Melters;08710438107654
346;SIA Glass;Caramel Latte Gräddglass;07312690103224
347;SKÅNEMEJERIER;Drickyoghurt Päron/ Vanilj;07310867533300
348;Dobla;Vit Choklad Blossum;08710822431136
349;Johan & Nyström;CARAVAN BRYGGMALET;07350045061201
350;DILMAH;Grönt neutralt te;09312631852745
351;Campari;SPRIT ÖVRIGT;08000040010931
352;Minella;Feta Premium Hel;07340062810913
353;Dafgårds;Dafgård Chicken Nuggets 4x2kg;07310960038177
354;Arla Ko®;Lättmjölk 0,5 % Eko;07310865058164
355;SIGNAL & ANDERSSON;Fläskkorv Skivad Kokt;02364462500002
356;SALTÅ KVARN;Vetemjöl KRAV;07317731801503
357;Chef´s Cut;Rödkål strimlad;07340007908071
358;QUORN;QUORN Filé, sprödbakad, 75g;05019503007848
359;DÉLIFRANCE;Skal Sött Runt 76mm;03291810784434
360;TABASCO;Röd pepparsås;00011210000018
361;DAVA Foods;Gourmet omelett;07316840300303
362;Formo;Patéform med lock 1550 ml;07321573979191
363;Jojjen;Rökt Vildsvinsskinka;02356494500006
364;KåKå;Marsipan Ljusrosa;07313620512536
365;Jojjen;Spickekorv;02356401100008
366;KåKå;Spandau kräm.FJ SG;07315060599054
367;Falbygdens® Rekommenderar;Taleggio DOP kittost;02022014500008
368;Scan;Måltidskorv strimlad SE;07300201298002
369;Wasa;Sandwich Gräslök;07300400122689
370;SALTÅ KVARN;Stora vita bönor i burk KRAV;07317731566006
371;OSCAR;Rostad Smak Krydda;05709347180448
372;TULIP FOODSERVICE;Slow Cooked Burger;05707196191745
373;McCAIN;Steakhouse Frites 10*18 mm;08710438009576
374;Finax;Veteskorpor;07313960074053
375;Brakes;Leverpastej bredbar;07330671013157
376;Fåddman AB;Bacon mediumstekt IMP KY;02354766500006
377;Bonjour;Rågsandwich, delad;05701014494230
378;START!;Blåbär & Solros Granola;07310130005909
379;FARM FRITES FROSEN;FINEST Pommes Roundcut med skal;08710679154622
380;Konfekta;POLKAKOLA;07392257002542
381;Finax;Blåbär & Havre Cookies;07311143551605
382;Golden Temple;Långkornigt ris 10 kg;04006237320320
383;Hilcona;Tagliatelle Färskfryst;07610227973099
384;Skaleriet;Knivskalad potatis 40-55mm;07350082310089
385;Bonjour;Baguette vete;07315060006101
386;HIPP;Tortiglioni med Kött 12m;04062300122314
387;-;Salciccia rå 100 gr;07325910648016
388;Nacka Köttprodukter AB;Högrevshamburgare 150g EU Mjukis;02352221800005
389;PÅGEN;LingonGrova Fryst;17311070002369
390;PABLO´S CHOICE;Tortillachips chili triangel;08718801771761
391;LIPTON;Iste Peach;08711200454471
392;Bistro;Brie;05906207523562
393;MARABOU;Daim Bites;07622210741530
394;Oatly;Cold Brew Latte;07394376616747
395;Finax;Ströbröd Osötat;07313960009024
396;Hemgården;Grynkorv Rå;00023563410000
397;FELDTS;Pangasiusmalfilé ASC;07392497091719
398;KATOZ;Äggnudlar;07392022004771
399;ALLERUM;Riven Präst & Herrgård KRAV;07393720091483
400;Scan;Falukorv eko strimlad SE;07300201051003
401;Aljomar;Kotlett Lomo Ibérico de Bellota;97310960758634
402;MERHAV;Alaska Pollock filétärningar MSC;07311750006154
403;Värmlandspotatis;Skalad King Edward vac;07350028773046
404;GRAYS BAKERY;Cheesecake Hallon gluten laktosfri;07393697076810
405;TONY'S PIZZA;Pizza Kebab fryst;07350076360595
406;-;Grillspett fläsk med lök/paprika;07325910220519
407;MARABOU;Schweizernöt;07310511216306
408;FIGARO;Svarta Oliver utan kärna;08410159092085
409;Coop;Pestosallad;07300156588555
410;Tante Juliette;Grönpepparpaté;07392555503888
411;Unique juice;NFC Apelsinjuice, tub 10 liter;06417941210117
412;CONDITO;Chokladtårta gluten-/laktosfri;04004311187463
413;Wernersson Ost;Halloumi;04002566010109
414;Martin & Servera;Nachochips runda;07321574508413
415;Junior, 33cl, kolsyrat naturell;Junior, kolsyrat naturell;07311180000081
416;Emåmejeriet;Ambrosia;02387971900002
417;Lithells;SKINKA RÖKT TÄRNAD SE;02330439000004
418;SIGNAL & ANDERSSON;Nötchorizo slantad 8mm;02364446700008
419;ACEITUNAS GUADALQUIVIR GMBH;Olivolja Ex Virgin EKO;04250696453710
420;Görans;Gyrosstrimlor griskött;06416345084027
421;Berga Bruk;Plingon;07350083540034
422;Nordic Spice;Gräslök frystorkad;08435161806758
423;SallaCarte;Ruccola;07312730099357
424;Salud;Guacamole Classic West;08717154056709
425;Boiron;Persikopuré;03389130007248
426;Scan;Pannbiff 40gx50st Eko SE;07300299021001
427;Peka;Frestelse bas;08711118016013
428;SIGNAL & ANDERSSON;Stekfläsk rimmat skivat stackat;02364426100002
429;Barilla;Casarecce, Selezione Oro Chef;08076809528108
430;Magnihill;Vitlök klyftad;07314060079498
431;Nibble Gårdsgris;Lufttorkad Black Garlic;02387452000009
432;Kvibille®;Ädel Mild 36% hel blåmögelost;02340391200008
433;SallaCarte;Purjolök skivad;07312730096837
434;AXA;Havregryn;07310130001284
435;Jo Food AB;Havskattfilè 100-400 g MSC;07330714026359
436;Crebon;Blåbärspaj med smulor;07340063355703
437;Kiviks Musteri;Herrgårdscider Rosé Hallon & Fläder;07314720604497
438;Dafgårds;Kardemummasnurra;07310960766339
439;Dafgårds;Muffins Choklad;07310960781103
440;Brakes;Varmkorv;07330671013164
441;Solero;Glass Juicy Peach;08714100639511
442;Carandini;Balsamico Glaze Pears Walnuts;08014347102251
443;GEVALIA;Organic Fairtrade & Eco, mörk/mask;07037150832000
444;Danora;Cookie Dark Chocolate;00039225270318
445;FlevoGold;Kycklingklubba urbenad m. skinn;07350074851835
446;HJORDNÄRA;Ekolgisk Gräddfil 12% KRAV;07310867525312
447;NORDSTRÖMS;Blandfärs 30/70 EU;02381560100002
448;SEMPER;Fettfri Mjölk;07310100318725
449;Magnihill;Kantareller;04021714111017
450;Miramar;Kammussla u/15 utan rom - MSC;07350001297088
